#list of all textures

#split by ", " (comma with space)

#name - name of the file
#rotation - block sides on which the texture can be
##any - any
##sides - south, west, north, east
##top - top
##bottom - bottom
##topbottom - top and bottom

#category - in-app category
##existing categories: Wood, Concrete Powder, Concrete, Wool, Glazed Terracotta, Terracotta, Shulker Boxes, Quartz, Corals, Ores, Consrete, Stone, Misc, Other, Blocks, Plants, Powered, Desert

#display name - in-app name
#----
#multiple textures cannot share the same name.

name:acacia_log, rotation:any, category:Wood, display-name:Acacia Log
name:acacia_log_top, rotation:any, category:Wood, display-name:Acacia Log Top
name:acacia_planks, rotation:any, category:Wood, display-name:Acacia Planks
name:andesite, rotation:any, category:Stone, display-name:Andesite
name:bedrock, rotation:any, category:Other, display-name:Bedrock
name:birch_log, rotation:any, category:Wood, display-name:Birch Log
name:birch_log_top, rotation:any, category:Wood, display-name:Birch Log Top
name:birch_planks, rotation:any, category:Wood, display-name:Birch Planks
name:birch_trapdoor, rotation:any, category:Powered, display-name:Birch Trapdoor
name:black_concrete, rotation:any, category:Concrete, display-name:Black Concrete
name:black_concrete_powder, rotation:any, category:Concrete Powder, display-name:Black Concrete Powder
name:black_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Black Glazed Terracotta
name:black_shulker_box, rotation:any, category:Shulker Boxes, display-name:Black Shulker Box
name:black_terracotta, rotation:any, category:Terracotta, display-name:Black Terracotta
name:black_wool, rotation:any, category:Wool, display-name:Black Wool
name:blue_concrete, rotation:any, category:Concrete, display-name:Blue Concrete
name:blue_concrete_powder, rotation:any, category:Concrete Powder, display-name:Blue Concrete Powder
name:blue_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Blue Glazed Terracotta
name:blue_ice, rotation:any, category:Misc, display-name:Blue Ice
name:blue_shulker_box, rotation:any, category:Shulker Boxes, display-name:Blue Shulker Box
name:blue_terracotta, rotation:any, category:Terracotta, display-name:Blue Terracotta
name:blue_wool, rotation:any, category:Wool, display-name:Blue Wool
name:bone_block_side, rotation:any, category:Misc, display-name:Bone Block Side
name:bone_block_top, rotation:any, category:Misc, display-name:Bone Block Top
name:bookshelf, rotation:any, category:Misc, display-name:Bookshelf
name:brain_coral_block, rotation:any, category:Corals, display-name:Brain Coral Block
name:bricks, rotation:any, category:Stone, display-name:Bricks
name:brown_concrete, rotation:any, category:Concrete, display-name:Brown Concrete
name:brown_concrete_powder, rotation:any, category:Concrete Powder, display-name:Brown Concrete Powder
name:brown_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Brown Glazed Terracotta
name:brown_terracotta, rotation:any, category:Terracotta, display-name:Brown Terracotta
name:brown_wool, rotation:any, category:Wool, display-name:Brown Wool
name:bubble_coral_block, rotation:any, category:Corals, display-name:Bubble Coral Block
name:carved_pumpkin, rotation:side, category:Misc, display-name:Carved Pumpkin
name:chiseled_quartz_block, rotation:any, category:Quartz, display-name:Chiseled Quartz Block
name:chiseled_quartz_block_top, rotation:top, category:Quartz, display-name:Chiseled Quartz Block Top
name:chiseled_red_sandstone, rotation:any, category:Desert, display-name:Chiseled Red Sandstone
name:chiseled_sandstone, rotation:any, category:Desert, display-name:Chiseled Sandstone
name:chiseled_stone_bricks, rotation:any, category:Stone, display-name:Chiseled Stone Bricks
name:clay, rotation:any, category:Misc, display-name:Clay
name:coal_block, rotation:any, category:Blocks, display-name:Coal Block
name:coal_ore, rotation:any, category:Ores, display-name:Coal Ore
name:coarse_dirt, rotation:any, category:Misc, display-name:Coarse Dirt
name:cobblestone, rotation:any, category:Stone, display-name:Cobblestone
name:cracked_stone_bricks, rotation:any, category:Stone, display-name:Cracked Stone Bricks
name:cut_red_sandstone, rotation:any, category:Desert, display-name:Cut Red Sandstone
name:cut_sandstone, rotation:any, category:Desert, display-name:Cut Sandstone
name:cyan_concrete, rotation:any, category:Concrete, display-name:Cyan Concrete
name:cyan_concrete_powder, rotation:any, category:Concrete Powder, display-name:Cyan Concrete Powder
name:cyan_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Cyan Glazed Terracotta
name:cyan_shulker_box, rotation:any, category:Shulker Boxes, display-name:Cyan Shulker Box
name:cyan_terracotta, rotation:any, category:Terracotta, display-name:Cyan Terracotta
name:cyan_wool, rotation:any, category:Wool, display-name:Cyan Wool
name:dark_oak_log, rotation:any, category:Wood, display-name:Dark Oak Log
name:dark_oak_log_top, rotation:any, category:Wood, display-name:Dark Oak Log Top
name:dark_oak_planks, rotation:any, category:Wood, display-name:Dark Oak Planks
name:dark_oak_trapdoor, rotation:any, category:Powered, display-name:Dark Oak Trapdoor
name:dark_prismarine, rotation:any, category:Misc, display-name:Dark Prismarine
name:dead_brain_coral_block, rotation:any, category:Corals, display-name:Dead Brain Coral Block
name:dead_bubble_coral_block, rotation:any, category:Corals, display-name:Dead Bubble Coral Block
name:dead_fire_coral_block, rotation:any, category:Corals, display-name:Dead Fire Coral Block
name:dead_horn_coral_block, rotation:any, category:Corals, display-name:Dead Horn Coral Block
name:dead_tube_coral_block, rotation:any, category:Corals, display-name:Dead Tube Coral Block
name:diamond_block, rotation:any, category:Blocks, display-name:Diamond Block
name:diamond_ore, rotation:any, category:Ores, display-name:Diamond Ore
name:diorite, rotation:any, category:Stone, display-name:Diorite
name:dirt, rotation:any, category:Misc, display-name:Dirt
name:dispenser_front, rotation:side, category:Powered, display-name:Dispenser Front (Side)
name:dispenser_front_vertical, rotation:topbottom, category:Powered, display-name:Dispenser Front (Top)
name:dried_kelp_bottom, rotation:bottom, category:Plants, display-name:Dried Kelp Bottom
name:dried_kelp_side, rotation:side, category:Plants, display-name:Dried Kelp Side
name:dried_kelp_top, rotation:top, category:Plants, display-name:Dried Kelp Top
name:dropper_front, rotation:side, category:Powered, display-name:Dropper Front (Side)
name:dropper_front_vertical, rotation:topbottom, category:Powered, display-name:Dropper Front (Top)
name:emerald_block, rotation:any, category:Blocks, display-name:Emerald Block
name:emerald_ore, rotation:any, category:Ores, display-name:Emerald Ore
name:end_stone, rotation:any, category:Stone, display-name:End Stone
name:end_stone_bricks, rotation:any, category:Stone, display-name:End Stone Bricks
name:fire_coral_block, rotation:any, category:Corals, display-name:Fire Coral Block
name:furnace_front, rotation:side, category:Misc, display-name:Furnace Front
name:furnace_side, rotation:side, category:Misc, display-name:Furnace Side
name:furnace_top, rotation:top, category:Misc, display-name:Furnace Top
name:gold_block, rotation:any, category:Blocks, display-name:Gold Block
name:gold_ore, rotation:any, category:Ores, display-name:Gold Ore
name:granite, rotation:any, category:Stone, display-name:Granite
name:gravel, rotation:any, category:Misc, display-name:Gravel
name:gray_concrete, rotation:any, category:Concrete, display-name:Gray Concrete
name:gray_concrete_powder, rotation:any, category:Concrete Powder, display-name:Gray Concrete Powder
name:gray_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Gray Glazed Terracotta
name:gray_shulker_box, rotation:any, category:Shulker Boxes, display-name:Gray Shulker Box
name:gray_terracotta, rotation:any, category:Terracotta, display-name:Gray Terracotta
name:gray_wool, rotation:any, category:Wool, display-name:Gray Wool
name:green_concrete, rotation:any, category:Concrete, display-name:Green Concrete
name:green_concrete_powder, rotation:any, category:Concrete Powder, display-name:Green Concrete Powder
name:green_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Green Glazed Terracotta
name:green_shulker_box, rotation:any, category:Shulker Boxes, display-name:Green Shulker Box
name:green_terracotta, rotation:any, category:Terracotta, display-name:Green Terracotta
name:green_wool, rotation:any, category:Wool, display-name:Green Wool
name:hay_block_side, rotation:side, category:Misc, display-name:Hay Block Side
name:hay_block_top, rotation:top, category:Misc, display-name:Hay Block Top
name:horn_coral_block, rotation:any, category:Corals, display-name:Horn Coral Block
name:iron_block, rotation:any, category:Blocks, display-name:Iron Block
name:iron_ore, rotation:any, category:Ores, display-name:Iron Ore
name:jukebox_side, rotation:side, category:Misc, display-name:Jukebox Side
name:jukebox_top, rotation:top, category:Misc, display-name:Jukebox Top
name:jungle_log, rotation:any, category:Wood, display-name:Jungle Log
name:jungle_log_top, rotation:any, category:Wood, display-name:Jungle Log Top
name:jungle_planks, rotation:any, category:Wood, display-name:Jungle Planks
name:lapis_block, rotation:any, category:Blocks, display-name:Lapis Block
name:lapis_ore, rotation:any, category:Ores, display-name:Lapis Ore
name:light_blue_concrete, rotation:any, category:Concrete, display-name:Light Blue Concrete
name:light_blue_concrete_powder, rotation:any, category:Concrete Powder, display-name:Light Blue Concrete Powder
name:light_blue_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Light Blue Glazed Terracotta
name:light_blue_shulker_box, rotation:any, category:Shulker Boxes, display-name:Light Blue Shulker Box
name:light_blue_terracotta, rotation:any, category:Terracotta, display-name:Light Blue Terracotta
name:light_blue_wool, rotation:any, category:Wool, display-name:Light Blue Wool
name:light_gray_concrete, rotation:any, category:Concrete, display-name:Light Gray Concrete
name:light_gray_concrete_powder, rotation:any, category:Concrete Powder, display-name:Light Gray Concrete Powder
name:light_gray_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Light Gray Glazed Terracotta
name:light_gray_shulker_box, rotation:any, category:Shulker Boxes, display-name:Light Gray Shulker Box
name:light_gray_terracotta, rotation:any, category:Terracotta, display-name:Light Gray Terracotta
